F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
4 S root        1363       1  0  80   0 - 72542 -      Jan04 ?        00:00:02 /usr/bin/python3 /usr/bin/blueman-tray
4 S root        1379    1089  0  80   0 - 11253 -      Jan04 ?        00:00:00 /usr/libexec/bluetooth/obexd
4 S root        1380    1089  0  80   0 - 87202 -      Jan04 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
4 S root        1383       1  0  80   0 - 98397 -      Jan04 ?        00:00:00 /usr/libexec/udisks2/udisksd
4 S root        1397    1089  0  80   0 - 77879 -      Jan04 ?        00:00:07 /usr/libexec/gvfs-afc-volume-monitor
4 S root        1402    1089  0  80   0 - 58208 -      Jan04 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
4 S root        1406    1089  0  80   0 - 58256 -      Jan04 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
4 S root        1410    1089  0  80   0 - 58801 -      Jan04 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
4 S root        1421    1194  0  80   0 - 77743 -      Jan04 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.11 /org/gtk/gvfs/exec_spaw/0
4 S root        1427    1089  0  80   0 - 39821 -      Jan04 ?        00:00:00 /usr/libexec/gvfsd-metadata
4 S root        1432       1  0  80   0 - 109149 -     Jan04 ?        00:00:03 /usr/bin/qterminal
0 S root        1440    1432  0  80   0 -  3421 -      Jan04 pts/0    00:00:01 /usr/bin/zsh
5 S root        1860       1  0  76  -4 -  3300 -      Jan04 ?        00:00:00 /sbin/auditd
1 S root        1881       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [audit_prune_tre]
4 S systemd+    2104       1  0  80   0 -  4910 -      Jan04 ?        00:00:00 /lib/systemd/systemd-networkd
4 S root        2140       1  0  80   0 -  3295 -      Jan04 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
0 S root        3159    1440  0  80   0 -  1820 -      Jan04 pts/0    00:00:00 /bin/bash ./cat.sh
4 S root        4823       1  0  80   0 -  2030 -      Jan04 ?        00:00:11 /usr/sbin/haveged --Foreground --verbose=1
1 S root        4854       1  0  80   0 -   644 -      Jan04 ?        00:00:00 kube
5 S root        4856       1 99  80   0 - 611141 -     Jan04 ?        1-10:05:16 kthreadd
1 S root        4885       1  0  80   0 -    65 -      Jan04 ?        00:00:09 sbin
1 S root        4899       1  0  80   0 -   800 -      Jan04 ?        00:00:00 systemd
