F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
4 S root         633       1  0  80   0 - 61302 poll_s 02:52 ?        00:00:01 /usr/lib/accountsservice/accounts-daemon
4 S avahi        637       1  0  80   0 -  2131 poll_s 02:52 ?        00:00:07 avahi-daemon: running [MT.local]
4 S root         638       1  0  80   0 -  2090 poll_s 02:52 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
4 S message+     641       1  0  80   0 -  2272 ep_pol 02:52 ?        00:00:06 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
4 S root         643       1  0  80   0 - 104127 poll_s 02:52 ?       00:00:25 /usr/sbin/NetworkManager --no-daemon
4 S syslog       654       1  0  80   0 - 56087 poll_s 02:52 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
4 S root         658       1  0  80   0 - 59712 poll_s 02:52 ?        00:00:00 /usr/libexec/switcheroo-control
4 S root         659       1  0  80   0 -  4231 ep_pol 02:52 ?        00:00:01 /lib/systemd/systemd-logind
4 S root         661       1  0  80   0 - 98873 poll_s 02:52 ?        00:00:00 /usr/lib/udisks2/udisksd
1 S avahi        668     637  0  80   0 -  2086 unix_s 02:52 ?        00:00:00 avahi-daemon: chroot helper
4 S root         746       1  0  80   0 - 30294 poll_s 02:52 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
4 S root         762       1  0  80   0 - 60667 poll_s 02:52 ?        00:00:00 /usr/sbin/gdm3
4 S root         764       1  0  80   0 - 60003 poll_s 02:52 ?        00:00:00 /usr/sbin/ModemManager --filter-policy=strict
4 S root         801     762  0  80   0 - 79454 poll_s 02:52 ?        00:00:00 gdm-session-worker [pam/gdm-autologin]
4 S g4rb3n       836       1  0  80   0 -  4948 ep_pol 02:52 ?        00:00:01 /lib/systemd/systemd --user
5 S g4rb3n       837     836  0  80   0 - 42206 do_sig 02:52 ?        00:00:00 (sd-pam)
0 S g4rb3n       842     836  0  80   0 - 483915 poll_s 02:52 ?       00:00:01 /usr/bin/pulseaudio --daemonize=no --log-target=journal
0 S g4rb3n       844     836  0  99   - - 280209 poll_s 02:52 ?       00:00:00 /usr/libexec/tracker-miner-fs
1 S g4rb3n       847       1  0  80   0 - 60877 poll_s 02:52 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
4 S g4rb3n       851     801  0  80   0 - 41801 poll_s 02:52 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
4 S g4rb3n       853     851  0  80   0 - 72407 ep_pol 02:52 tty2     00:01:05 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
4 S rtkit        854       1  0  81   1 - 38233 poll_s 02:52 ?        00:00:01 /usr/libexec/rtkit-daemon
0 S g4rb3n       859     836  0  80   0 -  3259 ep_pol 02:52 ?        00:00:03 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
0 S g4rb3n       893     836  0  80   0 - 60726 poll_s 02:52 ?        00:00:00 /usr/libexec/gvfsd
0 S g4rb3n       921     836  0  80   0 - 95513 futex_ 02:52 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
0 S g4rb3n       932     836  0  80   0 - 80183 poll_s 02:52 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
0 S g4rb3n       947     836  0  80   0 - 60320 poll_s 02:52 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
0 S g4rb3n       951     836  0  80   0 - 59720 poll_s 02:52 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
0 S g4rb3n       955     836  0  80   0 - 79984 poll_s 02:52 ?        00:00:04 /usr/libexec/gvfs-afc-volume-monitor
5 S root         963       2  0  70 -10 -     0 wait_w 02:52 ?        00:00:00 [krfcommd]
4 S root         979       1  0  80   0 - 63815 poll_s 02:52 ?        00:00:01 /usr/lib/upower/upowerd
0 S g4rb3n      1017     851  0  80   0 - 48528 poll_s 02:52 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
1 S g4rb3n      1085    1017  0  80   0 -  1508 poll_s 02:52 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
0 S g4rb3n      1104     836  0  80   0 - 77423 poll_s 02:52 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
0 S g4rb3n      1109    1104  0  80   0 -  1810 ep_pol 02:52 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
0 S g4rb3n      1113     836  0  80   0 - 23322 poll_s 02:52 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
0 S g4rb3n      1120     836  0  80   0 - 141049 poll_s 02:52 ?       00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
0 S g4rb3n      1136     836  0  80   0 - 1055974 poll_s 02:52 ?      00:01:56 /usr/bin/gnome-shell
0 S g4rb3n      1156    1136  0  80   0 - 79565 poll_s 02:52 ?        00:00:07 ibus-daemon --panel disable --xim
0 S g4rb3n      1160    1156  0  80   0 - 60917 poll_s 02:52 ?        00:00:00 /usr/libexec/ibus-dconf
0 S g4rb3n      1161    1156  0  80   0 - 70425 poll_s 02:52 ?        00:00:03 /usr/libexec/ibus-extension-gtk3
0 S g4rb3n      1163     836  0  80   0 - 51003 poll_s 02:52 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
0 S g4rb3n      1165     836  0  80   0 - 60913 poll_s 02:52 ?        00:00:00 /usr/libexec/ibus-portal
0 S g4rb3n      1175     836  0  80   0 - 40707 poll_s 02:52 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
0 S g4rb3n      1182     836  0  80   0 - 59724 poll_s 02:53 ?        00:00:00 /usr/libexec/xdg-permission-store
0 S g4rb3n      1187     836  0  80   0 - 145460 poll_s 02:53 ?       00:00:00 /usr/libexec/gnome-shell-calendar-server
0 S g4rb3n      1195     836  0  80   0 - 268432 poll_s 02:53 ?       00:00:00 /usr/libexec/evolution-source-registry
